date,value
2018-7-13,279.589996
2018-7-12,279.369995
2018-7-11,276.859985
2018-7-10,278.899994
2018-7-9,277.899994
2018-7-6,275.420013
2018-7-5,273.109985
2018-7-3,270.899994
2018-7-2,271.859985
2018-6-29,271.279999
2018-6-28,270.890015
2018-6-27,269.350006
2018-6-26,271.600006
2018-6-25,271
2018-6-22,274.73999
2018-6-21,274.23999
2018-6-20,275.970001
2018-6-19,275.5
2018-6-18,276.559998
2018-6-15,277.130005
2018-6-14,278.730011
2018-6-13,278.029999
2018-6-12,278.920013
2018-6-11,278.559998
2018-6-8,278.190002
2018-6-7,277.369995
2018-6-6,277.399994
2018-6-5,275.100006
2018-6-4,274.899994
2018-6-1,273.600006
2018-5-31,270.940002
2018-5-30,272.609985
2018-5-29,269.019989
2018-5-25,272.149994
2018-5-24,272.799988
2018-5-23,273.359985
2018-5-22,272.609985
2018-5-21,273.369995
2018-5-18,271.329987
2018-5-17,272.01001
2018-5-16,272.23999
2018-5-15,271.100006
2018-5-14,272.980011
2018-5-11,272.850006
2018-5-10,272.019989
2018-5-9,269.5
2018-5-8,266.920013
2018-5-7,266.920013
2018-5-4,266.019989
2018-5-3,262.619995
2018-5-2,263.200012
2018-5-1,264.980011
2018-4-30,264.51001
2018-4-27,266.559998
2018-4-26,266.309998
2018-4-25,263.630005
2018-4-24,262.980011
2018-4-23,266.570007
2018-4-20,266.609985
2018-4-19,268.890015
2018-4-18,270.390015
2018-4-17,270.190002
2018-4-16,267.329987
2018-4-13,265.149994
2018-4-12,265.929993
2018-4-11,263.76001
2018-4-10,265.149994
2018-4-9,261
2018-4-6,259.720001
2018-4-5,265.640015
2018-4-4,263.559998
2018-4-3,260.769989
2018-4-2,257.470001
2018-3-29,263.149994
2018-3-28,259.829987
2018-3-27,260.600006
2018-3-26,265.109985
2018-3-23,258.049988
2018-3-22,263.670013
2018-3-21,270.429993
2018-3-20,270.950012
2018-3-19,270.48999
2018-3-16,274.200012
2018-3-15,275
2018-3-14,275.299988
2018-3-13,276.720001
2018-3-12,278.519989
2018-3-9,278.869995
2018-3-8,274.100006
2018-3-7,272.779999
2018-3-6,272.880005
2018-3-5,272.190002
2018-3-2,269.079987
2018-3-1,267.700012
2018-2-28,271.649994
2018-2-27,274.429993
2018-2-26,277.899994
2018-2-23,274.709991
2018-2-22,270.399994
2018-2-21,270.049988
2018-2-20,271.399994
2018-2-16,273.109985
2018-2-15,273.029999
2018-2-14,269.589996
2018-2-13,266
2018-2-12,265.339996
2018-2-9,261.5
2018-2-8,257.630005
2018-2-7,267.670013
2018-2-6,269.130005
2018-2-5,263.929993
2018-2-2,275.450012
2018-2-1,281.579987
2018-1-31,281.899994
2018-1-30,281.76001
2018-1-29,284.679993
2018-1-26,286.579987
2018-1-25,283.299988
2018-1-24,283.179993
2018-1-23,283.290009
2018-1-22,282.690002
2018-1-19,280.410004
2018-1-18,279.140015
2018-1-17,279.609985
2018-1-16,276.970001
2018-1-12,277.920013
2018-1-11,276.119995
2018-1-10,274.119995
2018-1-9,274.540009
2018-1-8,273.920013
2018-1-5,273.420013
2018-1-4,271.609985
2018-1-3,270.470001
2018-1-2,268.769989
2017-12-29,266.859985
2017-12-28,267.869995
2017-12-27,267.320007
2017-12-26,267.190002
2017-12-22,267.51001
2017-12-21,267.579987
2017-12-20,267.029999
